Library ID,Game ID,Name (English),Name (Japanese),Codes,Damage,Element,Rarity,MB,Category
1,1,Cannon,キャノン,ABCDE,40,none,1,-,Standard
2,2,HiCannon,ハイキャノン,FGHIJ,80,none,2,-,Standard
3,3,M-Cannon,メガキャノン,KLMNO,120,none,3,-,Standard
4,14,Shotgun,ショットガン,KMNQR,30,none,1,-,Standard
5,15,CrossGun,クロスガン,CEFJK,30,none,1,-,Standard
6,10,Spreader,スプレッドガン,HIJKL,30,none,2,-,Standard
7,11,Bubbler,バブルスプレッド,AKLPS,50,aqua,1,-,Standard
8,12,Heater,ヒートスプレッド,CFGKO,70,fire,2,-,Standard
9,13,MiniBomb,ミニボム,CEJLP,50,none,1,-,Standard
10,7,LilBomb,スモールボム,BDGOT,50,none,1,-,Standard
11,8,CrosBomb,クロスボム,BDHJL,70,none,2,-,Standard
12,9,BigBomb,ビッグボム,BGOST,90,none,4,-,Standard
13,4,Sword,ソード,BKLPS,80,none,1,-,Standard
14,5,WideSwrd,ワイドソード,CKMNS,80,none,1,-,Standard
15,6,LongSwrd,ロングソード,DENOS,80,none,2,-,Standard
16,30,FtrSword,ファイターソード,BKLPS,100,none,3,-,Standard
17,32,KngtSwrd,ナイトソード,BCEGH,150,none,4,-,Standard
18,33,HeroSwrd,パラディンソード,BDFIG,200,none,5,-,Standard
19,25,FireSwrd,フレイムソード,BFGNP,100,fire,2,-,Standard
20,27,AquaSwrd,アクアソード,AMNOP,150,aqua,3,-,Standard
21,26,ElecSwrd,エレキソード,EGLOS,120,elec,3,-,Standard
22,136,Muramasa,ムラマサ,CEGJK,???,none,5,-,Standard
23,16,ShokWave,ショックウェーブ,CKLNP,60,none,1,-,Standard
24,17,SoniWave,ショックウェーブ,CDJMS,80,none,2,-,Standard
25,18,DynaWave,ダイナウェーブ,CEMSR,100,none,3,-,Standard
26,19,FireTowr,フレイムタワー,EFLMT,100,fire,2,-,Standard
27,20,AquaTowr,アクアタワー,ACGHR,120,aqua,2,-,Standard
28,21,WoodTowr,ウッディタワー,BCHKN,140,wood,2,-,Standard
29,22,Quake1,アースクエイク1,AEHKQ,90,none,1,-,Standard
30,23,Quake2,アースクエイク2,BCIKQ,120,none,2,-,Standard
31,24,Quake3,アースクエイク3,CDHMQ,150,none,3,-,Standard
32,28,GutsPnch,ガッツパンチ,BHMNT,60,none,1,-,Standard
33,29,IcePunch,コールドパンチ,BHMNT,80,aqua,2,-,Standard
34,31,Dash,ダッシュアタック,BDGLO,50,none,1,-,Standard
35,43,Howitzer,ホウガン,ACGHO,150,none,4,-,Standard
36,37,TriArrow,トリプルアロー,ABCDE,40 * 3,none,1,-,Standard
37,38,TriSpear,トリプルスピア,FGHIJ,50 * 3,none,2,-,Standard
38,39,TriLance,トリプルランス,KLMNO,60 * 3,none,4,-,Standard
39,58,Ratton1,ラットン1,ABCDE,80,none,1,-,Standard
40,59,Ratton2,ラットン2,FGHIJ,100,none,2,-,Standard
41,60,Ratton3,ラットン3,KLMNO,120,none,3,-,Standard
42,133,Wave,ツナミ,ADILM,80,aqua,3,-,Standard
43,134,RedWave,アカツナミ,BEJNP,100,fire,3,-,Standard
44,135,BigWave,オオツナミ,CHKLQ,160,aqua,4,-,Standard
45,127,Gaia1,ガイアハンマー1,CDLOT,100,none,3,-,Standard
46,128,Gaia2,ガイアハンマー2,CFKPS,130,none,4,-,Standard
47,129,Gaia3,ガイアハンマー3,CGMNT,160,none,5,-,Standard
48,44,Thunder1,サンダーボール1,AEGHS,90,elec,1,-,Standard
49,45,Thunder2,サンダーボール2,BCFIL,120,elec,2,-,Standard
50,46,Thunder3,サンダーボール3,DFGKN,150,elec,3,-,Standard
51,112,RingZap1,エレキサークル1,GHMNP,100,elec,1,-,Standard
52,113,RingZap2,エレキサークル2,CEGJL,100,elec,2,-,Standard
53,114,RingZap3,エレキサークル3,ABORT,100,elec,3,-,Standard
54,40,Typhoon,タイフーン,ABDEG,30,none,1,-,Standard
55,41,Huricane,ハリケーン,GIJKL,30,none,2,-,Standard
56,42,Cyclone,サイクロン,EFGHI,30,none,3,-,Standard
