Library ID,Game ID,Name (English),Name (Japanese),Codes,Damage,Element,Rarity,MB,Category,Version
1,1,Cannon,キャノン,ABC*,40,none,1,8,Standard,Both
2,2,HiCannon,,CDE,80,none,2,24,Standard,Both
3,3,M-Cannon,,EFG,120,none,3,40,Standard,Both
4,4,AirShot,,ASV*,20,wind,2,6,Standard,Both
5,15,Vulcan1,,ESV*,10,none,1,6,Standard,Both
6,16,Vulcan2,,BHO,10,none,2,18,Standard,Both
7,17,Vulcan3,,OYW,10,none,3,30,Standard,Both
8,18,Spreader,,LMN*,30,none,2,10,Standard,Both
9,19,HeatShot,,BCD*,40,fire,1,8,Standard,Both
10,20,Heat-V,,CDE,70,fire,2,22,Standard,Both
11,21,HeatSide,,DEF,100,fire,3,44,Standard,Both
12,22,Bubbler,,PQR*,50,aqua,1,12,Standard,Both
13,23,Bub-V,,CDE,80,aqua,2,22,Standard,Both
14,24,BublSide,,DEF,110,aqua,3,44,Standard,Both
15,57,Thunder1,,BLP*,40,elec,1,7,Standard,Both
16,58,Thunder2,,HPS,60,elec,2,18,Standard,Both
17,59,Thunder3,,ITW,80,elec,3,33,Standard,Both
18,9,WideSht1,,CDE*,60,aqua,1,10,Standard,Both
19,10,WideSht2,,LMN,80,aqua,2,30,Standard,Both
20,11,WideSht3,,STU,100,aqua,3,50,Standard,Both
21,12,FlmLine1,,FGH*,70,fire,1,18,Standard,Both
22,13,FlmLine2,,DEF,120,fire,1,26,Standard,Both
23,14,FlmLine3,,JKL,170,fire,1,54,Standard,Both
24,32,GunSol1,,AGM*,120,none,2,15,Standard,Both
25,33,GunSol2,,BGS,180,none,3,25,Standard,Both
26,34,GunSol3,,CGT,240,none,4,35,Standard,Both
27,5,Blizzard,,HJV,100,aqua,2,26,Standard,Both
28,6,HeatBrth,,DKO*,90,fire,2,30,Standard,Both
29,42,ElecShok,,JLS*,80,elec,3,40,Standard,Both
30,43,WoodPwdr,,FTW*,100,wood,3,40,Standard,Both
31,47,SandRing,,CRS*,0,none,2,8,Standard,Both
32,69,TwnFng1,,ABC*,70,none,1,13,Standard,Both
33,70,TwnFng2,,OPQ,100,none,2,26,Standard,Both
34,71,TwnFng3,,FGH,130,none,3,39,Standard,Both
35,25,ElemFlar,,KNP,100,fire,3,24,Standard,Both
36,26,ElemIce,,HQV,100,aqua,3,24,Standard,Both
37,126,ElemLeaf,,CDI,80,wood,3,24,Standard,Both
38,128,ElemSand,,ALS*,120,fire,3,24,Standard,Both
39,35,MagBolt1,,BCD,90,elec,1,18,Standard,Both
40,36,MagBolt2,,EFG,110,elec,2,28,Standard,Both
41,37,MagBolt3,,ABC,130,elec,3,38,Standard,Both
42,8,Tornado,,ELT,20,wind,3,22,Standard,Both
43,27,Static,,BGZ*,20,none,3,30,Standard,Both
44,29,MiniBomb,ミニボム,BLT*,50,none,1,5,Standard,Both
45,30,EnergBom,,ENT*,40,none,3,11,Standard,Both
46,31,MegEnBom,,DJW,60,none,4,30,Standard,Both
47,44,Ball,,BTV*,140,break,3,30,Standard,Both
48,46,BlkBomb,,DHZ,210,fire,4,55,Standard,Both
49,45,Geyser,,BLV,200,aqua,4,38,Standard,Both
50,41,BugBomb,,BGZ*,0,none,3,30,Standard,Both
51,38,Binder1,,COS*,60,none,1,10,Standard,Both
52,39,Binder2,,ATY,80,none,2,17,Standard,Both
53,40,Binder3,,EIO,100,none,3,24,Standard,Both
54,48,Sword,ソード,ELS,80,sword,1,9,Standard,Both
55,49,WideSwrd,ワイドソード,ELS,80,sword,2,16,Standard,Both
56,50,LongSwrd,,ELS,80,sword,3,25,Standard,Both
57,51,WideBlde,,CKS,130,sword,4,38,Standard,Both
58,52,LongBlde,,GRS,130,sword,4,40,Standard,Both
59,54,CustSwrd,,BPS,???,sword,3,20,Standard,Both
60,55,VarSwrd,,CJV,150,sword,4,60,Standard,Both
61,56,Slasher,,FHR,240,sword,3,18,Standard,Both
62,53,WindRack,,ALR*,100,wind,3,23,Standard,Both
63,63,AirHoc1,,DEF*,50,break,1,20,Standard,Both
64,64,AirHoc2,,IJK,60,break,2,30,Standard,Both
65,65,AirHoc3,,UVW,70,break,3,40,Standard,Both
66,60,Counter1,,FMT*,70,none,3,14,Standard,Both
67,61,Counter2,,BHL*,110,none,3,28,Standard,Both
68,62,Counter3,,ANV,150,none,3,42,Standard,Both
69,75,Boomer1,,LMN,60,wood,1,16,Standard,Both
72,76,Boomer2,,LMN,80,wood,2,28,Standard,Both
71,77,Boomer3,,STU,100,wood,2,40,Standard,Both
72,78,SidBmbo1,,BIR*,80,wood,1,14,Standard,Both
73,79,SidBmbo2,,HOS,110,wood,2,22,Standard,Both
74,80,SidBmbo3,,AFU,140,wood,3,30,Standard,Both
75,81,Lance,,AGR*,130,wood,4,42,Standard,Both
76,72,WhitWeb1,,DLR*,40,wood,1,26,Standard,Both
77,73,WhitWeb2,,CEY*,40,wood,2,36,Standard,Both
78,74,WhitWeb3,,KOV*,40,wood,3,46,Standard,Both
79,130,MokoRus1,,CIM,60,none,1,14,Standard,Both
80,131,MokoRus2,,GKU,90,none,2,28,Standard,Both
81,132,MokoRus3,,OTY,120,none,3,42,Standard,Both
82,66,CircGun1,,HTZ,80,none,1,28,Standard,Both
83,67,CircGun2,,DGT,100,none,2,40,Standard,Both
84,68,CircGun3,,JMR,120,none,3,52,Standard,Both
85,96,Snake,,DMR,20,none,4,60,Standard,Both
86,94,Magnum,,HQV,130,ground,3,52,Standard,Both
87,104,BigHamr1,,BOR,160,break,1,22,Standard,Both
88,105,BigHamr2,,GJW,220,break,2,33,Standard,Both
89,106,BigHamr3,,DVZ,280,break,3,44,Standard,Both
90,85,BoyBomb1,,EJM,220,obj,1,30,Standard,Both
91,86,BoyBomb2,,ISW,250,obj,2,40,Standard,Both
92,87,BoyBomb3,,GTV,280,obj,3,50,Standard,Both
93,97,TimeBomb,,JKL,150,obj,3,55,Standard,Both
94,98,Mine,,CHZ,300,obj,3,42,Standard,Both
95,99,RockCube,,*,0,obj,1,6,Standard,Both
96,83,Wind,,*,0,wind,2,10,Standard,Both
97,84,Fan,,*,0,wind,2,10,Standard,Both
98,100,Fanfare,,EGN*,0,obj,2,20,Standard,Both
